Nama Lokasi,Hari,Jam Login,Nama,Jenis Kelamin,Email,No Telp,Provider Seluler,Tahun Lahir,Merek HP,Digital Interest,Location Type,Durasi
Restoran Sunshine Gemilang,Minggu,16:27:53,Bagus Sari Sari,Laki-laki,Bagus_Sari_Sari@gmail.com,088934981697,Telkomsel,2003,ASUS,Work Stuff,Restoran,02:28:58
Mall Rotello Pesona,Rabu,09:04:29,Bagus Sari Siti,Perempuan,Bagus_Sari_Siti@gmail.com,085676180663,3,1989,Lenovo,Work Stuff,Mall,02:22:24
Restoran Sky Star,Jumat,12:23:09,Bagus Sari Fitri,Laki-laki,Bagus_Sari_Fitri@gmail.com,089013976154,Smartfren,1989,Vivo,Work Stuff,Restoran,01:17:52
Mall Rainbow Rainbow,Minggu,15:51:34,Bagus Siti Bayu,Perempuan,Bagus_Siti_Bayu@gmail.com,084073570148,Smartfren,1983,Lenovo,Work Stuff,Mall,00:26:10
Mall Pesona Larry,Rabu,15:49:07,Bagus Siti Fajar,Perempuan,Bagus_Siti_Fajar@gmail.com,085022453551,3,1995,Lenovo,Game,Mall,01:02:54
Mall Gemilang Gudetama,Sabtu,10:07:00,Bagus Siti Ilham,Perempuan,Bagus_Siti_Ilham@gmail.com,085757490717,3,1975,Infinix,Hiburan,Mall,02:57:56
Mall Specta Sky,Minggu,15:10:43,Bagus Siti Wahyu,Perempuan,Bagus_Siti_Wahyu@gmail.com,084750408249,3,1979,Huawei,Sosial Media,Mall,00:17:10
Kafe Sky Pesona,Rabu,19:01:32,Bagus Siti Rizki,Laki-laki,Bagus_Siti_Rizki@gmail.com,082617328535,Telkomsel,1980,Xiaomi,Sosial Media,Kafe,02:04:25
Restoran Jaguar Permata,Selasa,18:07:44,Bagus Siti Naufal,Laki-laki,Bagus_Siti_Naufal@gmail.com,086198750214,Smartfren,1982,Huawei,Game,Restoran,00:11:57
RS Domo Rotello,Sabtu,12:19:21,Bagus Siti Tono,Perempuan,Bagus_Siti_Tono@gmail.com,088747383199,3,2001,Xiaomi,Sosial Media,Rumah Sakit,02:18:08
Mall Star Jaguar,Senin,18:28:58,Bagus Siti Bagus,Perempuan,Bagus_Siti_Bagus@gmail.com,087857024006,XL,1980,Oppo,Work Stuff,Mall,01:58:09
Restoran Rotello Sunshine,Senin,18:16:11,Bagus Siti Asep,Laki-laki,Bagus_Siti_Asep@gmail.com,081243249661,Indosat,1997,Xiaomi,Social Connection,Restoran,02:45:17
Halte Domo Domo,Kamis,14:06:42,Bagus Siti Kartika,Perempuan,Bagus_Siti_Kartika@gmail.com,087365883829,3,1989,Vivo,Social Connection,Halte,01:20:32
Kafe Larry Gudetama,Minggu,11:13:42,Bagus Siti Ayu,Perempuan,Bagus_Siti_Ayu@gmail.com,087437358949,Telkomsel,2002,Huawei,Sosial Media,Kafe,02:19:41
Kafe Domo Sunshine,Selasa,11:18:21,Bagus Siti Alma,Perempuan,Bagus_Siti_Alma@gmail.com,088253529336,XL,2005,Vivo,Hiburan,Kafe,02:48:58
RS Sky Gudetama,Sabtu,14:32:35,Bagus Siti Nabilah,Perempuan,Bagus_Siti_Nabilah@gmail.com,086297789074,Telkomsel,1999,Iphone,Game,Rumah Sakit,01:41:44
Halte Gemilang Pesona,Jumat,09:50:51,Bagus Siti Putri,Perempuan,Bagus_Siti_Putri@gmail.com,084864516170,Smartfren,2002,Realme,Sosial Media,Halte,00:28:15
Restoran Rotello Sunshine,Selasa,20:13:35,Bagus Siti Lia,Laki-laki,Bagus_Siti_Lia@gmail.com,087767604622,3,1997,Huawei,Work Stuff,Restoran,01:54:38
Kafe Rotello Larry,Minggu,11:31:42,Bagus Siti Sari,Laki-laki,Bagus_Siti_Sari@gmail.com,089390974545,Telkomsel,1989,Xiaomi,Game,Kafe,01:28:57
Halte Sunshine Domo,Senin,12:55:09,Bagus Siti Siti,Laki-laki,Bagus_Siti_Siti@gmail.com,089404501760,Telkomsel,1980,Xiaomi,Sosial Media,Halte,02:27:41
Restoran Permata Sky,Jumat,10:51:30,Bagus Siti Fitri,Perempuan,Bagus_Siti_Fitri@gmail.com,082984707538,Telkomsel,1990,Xiaomi,Social Connection,Restoran,01:42:56
Kafe Specta Star,Rabu,08:40:05,Bagus Fitri Bayu,Laki-laki,Bagus_Fitri_Bayu@gmail.com,082768187693,Indosat,1987,Samsung,Work Stuff,Kafe,02:39:59
Restoran Tjantik Domo,Jumat,11:42:29,Bagus Fitri Fajar,Laki-laki,Bagus_Fitri_Fajar@gmail.com,086362584103,Telkomsel,1990,Iphone,Game,Restoran,01:45:44
Halte Star Star,Selasa,13:10:21,Bagus Fitri Ilham,Laki-laki,Bagus_Fitri_Ilham@gmail.com,089144560453,XL,1985,Infinix,Work Stuff,Halte,02:13:09
RS Specta Sky,Selasa,18:11:01,Bagus Fitri Wahyu,Laki-laki,Bagus_Fitri_Wahyu@gmail.com,089678601569,XL,2002,Realme,Social Connection,Rumah Sakit,00:33:44
Restoran Sunshine Sunshine,Jumat,11:36:57,Bagus Fitri Rizki,Laki-laki,Bagus_Fitri_Rizki@gmail.com,081733945667,XL,1980,Oppo,Work Stuff,Restoran,02:36:34
Restoran Jaguar Specta,Selasa,14:31:31,Bagus Fitri Naufal,Laki-laki,Bagus_Fitri_Naufal@gmail.com,089724259725,3,2003,Samsung,Social Connection,Restoran,00:44:50
Kafe Rotello Sunshine,Kamis,13:58:54,Bagus Fitri Tono,Laki-laki,Bagus_Fitri_Tono@gmail.com,086455516372,XL,1981,Xiaomi,Social Connection,Kafe,00:16:32
Mall Gemilang Larry,Jumat,20:29:04,Bagus Fitri Bagus,Perempuan,Bagus_Fitri_Bagus@gmail.com,081576867442,XL,1973,Huawei,Sosial Media,Mall,02:58:20
Halte Gudetama Star,Kamis,21:02:15,Bagus Fitri Asep,Perempuan,Bagus_Fitri_Asep@gmail.com,081579886176,XL,1982,ASUS,Hiburan,Halte,00:55:45
Kafe Rotello Star,Senin,14:06:56,Bagus Fitri Kartika,Perempuan,Bagus_Fitri_Kartika@gmail.com,087736257335,Telkomsel,1986,Lenovo,Sosial Media,Kafe,00:21:24
Mall Rainbow Tjantik,Rabu,13:10:42,Bagus Fitri Ayu,Perempuan,Bagus_Fitri_Ayu@gmail.com,083603815410,Smartfren,1975,Iphone,Social Connection,Mall,02:01:05
Halte Sunshine Permata,Kamis,07:37:43,Bagus Fitri Alma,Laki-laki,Bagus_Fitri_Alma@gmail.com,085468192299,XL,1991,Huawei,Sosial Media,Halte,00:16:26
Mall Tjantik Specta,Jumat,10:11:59,Bagus Fitri Nabilah,Laki-laki,Bagus_Fitri_Nabilah@gmail.com,082244775941,Indosat,1991,Infinix,Sosial Media,Mall,00:32:55
Restoran Rainbow Permata,Sabtu,09:52:05,Bagus Fitri Putri,Laki-laki,Bagus_Fitri_Putri@gmail.com,087070442460,Indosat,2005,Xiaomi,Work Stuff,Restoran,01:48:36
RS Domo Specta,Jumat,16:43:33,Bagus Fitri Lia,Perempuan,Bagus_Fitri_Lia@gmail.com,087178212732,XL,1982,Oppo,Game,Rumah Sakit,02:29:20
Halte Gudetama Sunshine,Rabu,17:27:28,Bagus Fitri Sari,Laki-laki,Bagus_Fitri_Sari@gmail.com,088652768505,Smartfren,1997,ASUS,Hiburan,Halte,01:52:29
Mall Jaguar Tjantik,Selasa,07:20:53,Bagus Fitri Siti,Perempuan,Bagus_Fitri_Siti@gmail.com,089464824004,3,1977,Realme,Game,Mall,02:19:18
Halte Sunshine Pesona,Jumat,15:45:18,Bagus Fitri Fitri,Laki-laki,Bagus_Fitri_Fitri@gmail.com,089574720850,3,1987,Huawei,Social Connection,Halte,02:43:19
Restoran Rotello Tjantik,Rabu,11:51:18,Asep Bayu Bayu,Laki-laki,Asep_Bayu_Bayu@gmail.com,084858802223,3,1991,Lenovo,Game,Restoran,02:40:22
Halte Rainbow Gudetama,Kamis,08:51:57,Asep Bayu Fajar,Perempuan,Asep_Bayu_Fajar@gmail.com,084879400557,Indosat,1995,Huawei,Social Connection,Halte,01:51:44
Mall Specta Tjantik,Jumat,07:11:27,Asep Bayu Ilham,Perempuan,Asep_Bayu_Ilham@gmail.com,081407527450,Telkomsel,2002,Realme,Game,Mall,01:49:16
Restoran Sunshine Larry,Rabu,08:13:56,Asep Bayu Wahyu,Perempuan,Asep_Bayu_Wahyu@gmail.com,085489163175,3,2001,Oppo,Hiburan,Restoran,01:59:28
Kafe Star Rainbow,Senin,08:59:18,Asep Bayu Rizki,Perempuan,Asep_Bayu_Rizki@gmail.com,088336813655,Smartfren,2002,Xiaomi,Game,Kafe,02:50:51
Kafe Tjantik Domo,Rabu,10:20:47,Asep Bayu Naufal,Laki-laki,Asep_Bayu_Naufal@gmail.com,089040083008,Telkomsel,2005,Oppo,Social Connection,Kafe,00:34:48
Mall Sky Sunshine,Kamis,19:14:47,Asep Bayu Tono,Perempuan,Asep_Bayu_Tono@gmail.com,089042174899,Indosat,1994,Iphone,Work Stuff,Mall,01:33:00
Kafe Rainbow Sky,Minggu,07:13:09,Asep Bayu Bagus,Perempuan,Asep_Bayu_Bagus@gmail.com,083192977434,Indosat,1978,Vivo,Social Connection,Kafe,02:45:21
Restoran Sky Rainbow,Senin,07:58:54,Asep Bayu Asep,Laki-laki,Asep_Bayu_Asep@gmail.com,084513362637,Indosat,2001,Huawei,Work Stuff,Restoran,02:19:51
Kafe Larry Jaguar,Selasa,17:33:49,Asep Bayu Kartika,Perempuan,Asep_Bayu_Kartika@gmail.com,087511494653,XL,2003,Vivo,Work Stuff,Kafe,01:28:34
RS Sunshine Star,Kamis,12:22:01,Asep Bayu Ayu,Perempuan,Asep_Bayu_Ayu@gmail.com,089089268840,3,1994,Iphone,Sosial Media,Rumah Sakit,01:30:26
Kafe Sky Star,Rabu,14:33:16,Asep Bayu Alma,Laki-laki,Asep_Bayu_Alma@gmail.com,088244878256,Indosat,1987,Iphone,Social Connection,Kafe,01:05:39
Restoran Sunshine Gemilang,Kamis,14:15:40,Asep Bayu Nabilah,Laki-laki,Asep_Bayu_Nabilah@gmail.com,085248487131,XL,1988,Infinix,Work Stuff,Restoran,00:21:52
Halte Sky Star,Sabtu,21:26:19,Asep Bayu Putri,Laki-laki,Asep_Bayu_Putri@gmail.com,085407377228,3,1985,Lenovo,Game,Halte,00:30:01
RS Sky Pesona,Kamis,21:26:22,Asep Bayu Lia,Perempuan,Asep_Bayu_Lia@gmail.com,086436020171,Smartfren,1971,Realme,Sosial Media,Rumah Sakit,02:03:31
Halte Larry Larry,Jumat,07:02:45,Asep Bayu Sari,Perempuan,Asep_Bayu_Sari@gmail.com,084479770086,XL,2004,Samsung,Work Stuff,Halte,02:10:27
Mall Sunshine Star,Selasa,11:04:30,Asep Bayu Siti,Perempuan,Asep_Bayu_Siti@gmail.com,081993906644,XL,2005,Infinix,Social Connection,Mall,00:27:20
Mall Rotello Specta,Selasa,16:34:01,Asep Bayu Fitri,Perempuan,Asep_Bayu_Fitri@gmail.com,086333869589,Indosat,1984,Huawei,Hiburan,Mall,02:17:30
Mall Tjantik Tjantik,Jumat,12:42:56,Asep Fajar Bayu,Perempuan,Asep_Fajar_Bayu@gmail.com,083666602678,Telkomsel,1979,Samsung,Social Connection,Mall,01:47:21
Restoran Rotello Rotello,Jumat,09:04:12,Asep Fajar Fajar,Laki-laki,Asep_Fajar_Fajar@gmail.com,084984421720,Indosat,1975,Infinix,Sosial Media,Restoran,02:54:05
Halte Sky Jaguar,Kamis,08:07:03,Asep Fajar Ilham,Perempuan,Asep_Fajar_Ilham@gmail.com,087578569102,Telkomsel,2003,Lenovo,Game,Halte,00:34:42
Mall Sunshine Gemilang,Selasa,17:04:49,Asep Fajar Wahyu,Laki-laki,Asep_Fajar_Wahyu@gmail.com,088818370132,Smartfren,1988,Samsung,Work Stuff,Mall,02:29:23
RS Star Pesona,Jumat,13:03:41,Asep Fajar Rizki,Perempuan,Asep_Fajar_Rizki@gmail.com,085228411534,Smartfren,1983,Infinix,Sosial Media,Rumah Sakit,00:46:03
Mall Larry Domo,Senin,20:24:00,Asep Fajar Naufal,Laki-laki,Asep_Fajar_Naufal@gmail.com,085929813283,3,1972,Lenovo,Sosial Media,Mall,00:27:23
Halte Star Rotello,Selasa,20:05:51,Asep Fajar Tono,Laki-laki,Asep_Fajar_Tono@gmail.com,086796713485,Smartfren,1988,Xiaomi,Sosial Media,Halte,01:34:27
Restoran Tjantik Domo,Selasa,16:25:10,Asep Fajar Bagus,Perempuan,Asep_Fajar_Bagus@gmail.com,087540479141,3,1978,Xiaomi,Game,Restoran,02:51:22
Kafe Rotello Tjantik,Minggu,19:07:03,Asep Fajar Asep,Laki-laki,Asep_Fajar_Asep@gmail.com,082561129044,3,1994,Vivo,Hiburan,Kafe,01:17:51
RS Permata Sky,Sabtu,21:29:51,Asep Fajar Kartika,Laki-laki,Asep_Fajar_Kartika@gmail.com,084365153582,XL,1970,Realme,Hiburan,Rumah Sakit,00:57:06
Halte Star Specta,Minggu,18:05:08,Asep Fajar Ayu,Laki-laki,Asep_Fajar_Ayu@gmail.com,087958280444,3,1986,Infinix,Hiburan,Halte,01:10:25
Mall Permata Tjantik,Jumat,20:05:48,Asep Fajar Alma,Laki-laki,Asep_Fajar_Alma@gmail.com,085664259374,3,1997,Iphone,Game,Mall,01:03:41
Restoran Jaguar Rainbow,Sabtu,08:25:58,Asep Fajar Nabilah,Perempuan,Asep_Fajar_Nabilah@gmail.com,085020073210,Indosat,1974,Samsung,Social Connection,Restoran,01:11:32
Halte Permata Star,Minggu,20:08:27,Asep Fajar Putri,Laki-laki,Asep_Fajar_Putri@gmail.com,083913973024,Smartfren,1973,Oppo,Social Connection,Halte,01:44:45
Mall Domo Domo,Senin,08:51:24,Asep Fajar Lia,Laki-laki,Asep_Fajar_Lia@gmail.com,083622434776,Indosat,1973,Oppo,Hiburan,Mall,00:16:53
Mall Star Permata,Selasa,14:26:27,Asep Fajar Sari,Laki-laki,Asep_Fajar_Sari@gmail.com,084342099806,Telkomsel,1990,Infinix,Work Stuff,Mall,01:06:44
Halte Rainbow Domo,Senin,20:15:35,Asep Fajar Siti,Perempuan,Asep_Fajar_Siti@gmail.com,081936548441,Indosat,1989,Huawei,Game,Halte,01:24:46
RS Sky Tjantik,Kamis,14:10:16,Asep Fajar Fitri,Laki-laki,Asep_Fajar_Fitri@gmail.com,082698748056,Smartfren,2003,Realme,Work Stuff,Rumah Sakit,02:57:53
Restoran Gudetama Permata,Rabu,10:27:33,Asep Ilham Bayu,Laki-laki,Asep_Ilham_Bayu@gmail.com,082409121968,3,1991,Vivo,Social Connection,Restoran,02:28:40
RS Larry Sky,Senin,07:45:54,Asep Ilham Fajar,Perempuan,Asep_Ilham_Fajar@gmail.com,086737942065,3,1973,Huawei,Sosial Media,Rumah Sakit,00:05:40
Mall Rotello Permata,Kamis,11:36:33,Asep Ilham Ilham,Perempuan,Asep_Ilham_Ilham@gmail.com,081341069249,Telkomsel,1990,Iphone,Social Connection,Mall,01:51:32
Mall Permata Pesona,Sabtu,11:15:24,Asep Ilham Wahyu,Perempuan,Asep_Ilham_Wahyu@gmail.com,084227693881,XL,1993,Huawei,Social Connection,Mall,01:21:52
Restoran Gemilang Pesona,Minggu,17:59:43,Asep Ilham Rizki,Laki-laki,Asep_Ilham_Rizki@gmail.com,085789109482,Telkomsel,2003,Lenovo,Sosial Media,Restoran,02:30:19
RS Jaguar Larry,Jumat,20:54:28,Asep Ilham Naufal,Laki-laki,Asep_Ilham_Naufal@gmail.com,081833306510,Smartfren,1986,Realme,Hiburan,Rumah Sakit,01:36:56
RS Permata Sky,Minggu,07:55:16,Asep Ilham Tono,Perempuan,Asep_Ilham_Tono@gmail.com,085490988689,Smartfren,2002,Huawei,Work Stuff,Rumah Sakit,02:10:05
RS Sunshine Permata,Senin,13:13:35,Asep Ilham Bagus,Perempuan,Asep_Ilham_Bagus@gmail.com,087337184125,Telkomsel,1990,ASUS,Work Stuff,Rumah Sakit,02:31:06
Kafe Permata Specta,Senin,16:10:19,Asep Ilham Asep,Laki-laki,Asep_Ilham_Asep@gmail.com,085281113499,Smartfren,1999,ASUS,Game,Kafe,01:41:06
Mall Tjantik Pesona,Senin,11:31:44,Asep Ilham Kartika,Perempuan,Asep_Ilham_Kartika@gmail.com,088973666519,Smartfren,1992,Oppo,Work Stuff,Mall,01:11:42
Halte Pesona Rotello,Jumat,21:50:09,Asep Ilham Ayu,Perempuan,Asep_Ilham_Ayu@gmail.com,085532747651,Telkomsel,1973,Iphone,Sosial Media,Halte,00:44:38
Restoran Jaguar Pesona,Jumat,09:51:59,Asep Ilham Alma,Perempuan,Asep_Ilham_Alma@gmail.com,081536063846,Indosat,1977,Huawei,Hiburan,Restoran,01:35:54
Halte Sky Rotello,Sabtu,21:07:42,Asep Ilham Nabilah,Laki-laki,Asep_Ilham_Nabilah@gmail.com,089786171768,Telkomsel,1972,Huawei,Hiburan,Halte,01:01:18
RS Gemilang Gudetama,Rabu,19:45:46,Asep Ilham Putri,Perempuan,Asep_Ilham_Putri@gmail.com,081208999355,Telkomsel,1977,Vivo,Work Stuff,Rumah Sakit,01:33:45
Restoran Rainbow Sky,Sabtu,09:47:39,Asep Ilham Lia,Laki-laki,Asep_Ilham_Lia@gmail.com,081638878847,XL,1995,Vivo,Hiburan,Restoran,01:51:22
RS Domo Tjantik,Selasa,17:38:50,Asep Ilham Sari,Laki-laki,Asep_Ilham_Sari@gmail.com,087541670586,Indosat,1971,Iphone,Sosial Media,Rumah Sakit,02:10:13
RS Domo Rainbow,Rabu,11:58:38,Asep Ilham Siti,Laki-laki,Asep_Ilham_Siti@gmail.com,088027020492,XL,1991,Iphone,Social Connection,Rumah Sakit,02:12:03
RS Gudetama Star,Jumat,21:15:37,Asep Ilham Fitri,Laki-laki,Asep_Ilham_Fitri@gmail.com,082455366863,Indosat,1981,Samsung,Game,Rumah Sakit,02:11:33
Mall Domo Gudetama,Senin,13:04:30,Asep Wahyu Bayu,Laki-laki,Asep_Wahyu_Bayu@gmail.com,087680674368,Indosat,1993,ASUS,Hiburan,Mall,01:46:52
RS Gudetama Tjantik,Kamis,14:28:58,Asep Wahyu Fajar,Perempuan,Asep_Wahyu_Fajar@gmail.com,082842770539,XL,1999,Vivo,Sosial Media,Rumah Sakit,00:57:57
RS Gemilang Rotello,Minggu,20:45:30,Asep Wahyu Ilham,Laki-laki,Asep_Wahyu_Ilham@gmail.com,088938470594,Smartfren,1987,Xiaomi,Work Stuff,Rumah Sakit,01:00:16
Mall Sky Domo,Senin,15:50:32,Asep Wahyu Wahyu,Perempuan,Asep_Wahyu_Wahyu@gmail.com,085273476319,Telkomsel,1988,ASUS,Social Connection,Mall,01:07:19
Kafe Tjantik Gemilang,Selasa,09:53:21,Asep Wahyu Rizki,Perempuan,Asep_Wahyu_Rizki@gmail.com,087615160339,Smartfren,1990,Oppo,Sosial Media,Kafe,00:57:15
Kafe Permata Specta,Minggu,13:30:35,Asep Wahyu Naufal,Perempuan,Asep_Wahyu_Naufal@gmail.com,088998068484,Smartfren,1973,Xiaomi,Hiburan,Kafe,01:24:15
Mall Domo Domo,Minggu,07:28:25,Asep Wahyu Tono,Perempuan,Asep_Wahyu_Tono@gmail.com,089529805755,Indosat,1971,Oppo,Game,Mall,00:40:49
Halte Permata Gudetama,Jumat,10:55:14,Asep Wahyu Bagus,Perempuan,Asep_Wahyu_Bagus@gmail.com,088853771443,3,1992,Samsung,Hiburan,Halte,00:49:27
Restoran Specta Gudetama,Selasa,13:52:18,Asep Wahyu Asep,Laki-laki,Asep_Wahyu_Asep@gmail.com,089574902251,Smartfren,2001,Vivo,Game,Restoran,01:06:41
Kafe Gemilang Permata,Senin,16:22:25,Asep Wahyu Kartika,Perempuan,Asep_Wahyu_Kartika@gmail.com,086165834346,XL,1984,Huawei,Social Connection,Kafe,02:37:59
Halte Jaguar Sunshine,Minggu,15:33:11,Asep Wahyu Ayu,Perempuan,Asep_Wahyu_Ayu@gmail.com,084534748756,Indosat,1980,Infinix,Social Connection,Halte,02:50:44
Restoran Rainbow Star,Senin,11:18:55,Asep Wahyu Alma,Perempuan,Asep_Wahyu_Alma@gmail.com,088473618667,Telkomsel,1980,Realme,Work Stuff,Restoran,01:18:18
Restoran Domo Pesona,Sabtu,15:39:44,Asep Wahyu Nabilah,Perempuan,Asep_Wahyu_Nabilah@gmail.com,087977727295,3,1987,Iphone,Hiburan,Restoran,01:36:45
Mall Specta Rotello,Sabtu,14:15:05,Asep Wahyu Putri,Perempuan,Asep_Wahyu_Putri@gmail.com,089752154959,Smartfren,1998,Samsung,Game,Mall,00:20:12
Mall Larry Specta,Sabtu,07:21:38,Asep Wahyu Lia,Perempuan,Asep_Wahyu_Lia@gmail.com,088963865239,Smartfren,2001,Samsung,Work Stuff,Mall,02:49:41
RS Tjantik Permata,Rabu,20:03:23,Asep Wahyu Sari,Laki-laki,Asep_Wahyu_Sari@gmail.com,081380701347,Telkomsel,2001,Iphone,Hiburan,Rumah Sakit,01:04:00
Halte Rotello Rotello,Kamis,14:56:41,Asep Wahyu Siti,Perempuan,Asep_Wahyu_Siti@gmail.com,082838309133,Smartfren,2004,Infinix,Sosial Media,Halte,02:24:51
Kafe Permata Sunshine,Kamis,17:32:56,Asep Wahyu Fitri,Perempuan,Asep_Wahyu_Fitri@gmail.com,081993889073,XL,1982,Vivo,Game,Kafe,00:30:35
Mall Domo Sunshine,Kamis,13:01:57,Asep Rizki Bayu,Perempuan,Asep_Rizki_Bayu@gmail.com,085154941123,Telkomsel,1988,ASUS,Sosial Media,Mall,01:10:25
RS Rotello Gemilang,Jumat,20:53:36,Asep Rizki Fajar,Perempuan,Asep_Rizki_Fajar@gmail.com,085667580174,Indosat,1996,Oppo,Social Connection,Rumah Sakit,01:16:03
Halte Gudetama Domo,Minggu,11:21:30,Asep Rizki Ilham,Laki-laki,Asep_Rizki_Ilham@gmail.com,083776074171,Smartfren,1980,Lenovo,Social Connection,Halte,01:54:17
Restoran Rotello Pesona,Senin,08:50:42,Asep Rizki Wahyu,Perempuan,Asep_Rizki_Wahyu@gmail.com,083728925641,XL,1989,Vivo,Sosial Media,Restoran,01:30:16
RS Specta Specta,Minggu,10:55:25,Asep Rizki Rizki,Laki-laki,Asep_Rizki_Rizki@gmail.com,087714235045,Indosat,1993,ASUS,Work Stuff,Rumah Sakit,02:51:32
Kafe Sky Tjantik,Selasa,21:20:37,Asep Rizki Naufal,Perempuan,Asep_Rizki_Naufal@gmail.com,088974941790,Indosat,1979,Lenovo,Social Connection,Kafe,00:23:19
Mall Gudetama Larry,Selasa,12:27:57,Asep Rizki Tono,Laki-laki,Asep_Rizki_Tono@gmail.com,087591268879,Indosat,1975,Samsung,Hiburan,Mall,02:19:09
Kafe Rainbow Gemilang,Minggu,17:04:49,Asep Rizki Bagus,Perempuan,Asep_Rizki_Bagus@gmail.com,086433662205,Smartfren,1984,Iphone,Work Stuff,Kafe,00:49:30
Halte Domo Gudetama,Rabu,11:19:20,Asep Rizki Asep,Perempuan,Asep_Rizki_Asep@gmail.com,086973505609,3,1975,Xiaomi,Social Connection,Halte,00:15:29
Mall Domo Sky,Kamis,21:46:56,Asep Rizki Kartika,Perempuan,Asep_Rizki_Kartika@gmail.com,081286604087,3,1977,Infinix,Social Connection,Mall,02:53:53
Halte Sky Sunshine,Minggu,08:31:07,Asep Rizki Ayu,Laki-laki,Asep_Rizki_Ayu@gmail.com,081408611573,XL,1991,Iphone,Hiburan,Halte,01:24:19
RS Tjantik Tjantik,Senin,15:24:49,Asep Rizki Alma,Laki-laki,Asep_Rizki_Alma@gmail.com,082522277232,XL,2000,Iphone,Game,Rumah Sakit,02:59:09
Restoran Jaguar Sunshine,Jumat,17:42:52,Asep Rizki Nabilah,Perempuan,Asep_Rizki_Nabilah@gmail.com,086573482952,Telkomsel,1981,Xiaomi,Hiburan,Restoran,02:10:41
Kafe Pesona Star,Selasa,07:08:58,Asep Rizki Putri,Perempuan,Asep_Rizki_Putri@gmail.com,081359212474,Smartfren,1970,Huawei,Game,Kafe,01:09:16
RS Domo Specta,Kamis,14:52:40,Asep Rizki Lia,Laki-laki,Asep_Rizki_Lia@gmail.com,081221139566,XL,1983,Oppo,Work Stuff,Rumah Sakit,01:59:11
Halte Tjantik Gudetama,Minggu,15:54:49,Asep Rizki Sari,Laki-laki,Asep_Rizki_Sari@gmail.com,085449417681,Indosat,1982,Xiaomi,Sosial Media,Halte,01:59:25
Restoran Rotello Rotello,Sabtu,20:21:00,Asep Rizki Siti,Perempuan,Asep_Rizki_Siti@gmail.com,087592794363,Indosat,1976,Infinix,Work Stuff,Restoran,02:47:28
Restoran Gudetama Gemilang,Rabu,20:43:27,Asep Rizki Fitri,Laki-laki,Asep_Rizki_Fitri@gmail.com,084518519308,Smartfren,1987,Huawei,Social Connection,Restoran,00:19:59
Halte Star Larry,Selasa,17:19:24,Asep Naufal Bayu,Perempuan,Asep_Naufal_Bayu@gmail.com,085483032137,Indosat,1988,Vivo,Work Stuff,Halte,00:59:14
Kafe Gudetama Sky,Minggu,11:28:01,Asep Naufal Fajar,Perempuan,Asep_Naufal_Fajar@gmail.com,081594110664,XL,1992,Xiaomi,Game,Kafe,01:36:24
Mall Rainbow Rainbow,Jumat,09:19:12,Asep Naufal Ilham,Perempuan,Asep_Naufal_Ilham@gmail.com,089261365703,3,1974,Xiaomi,Hiburan,Mall,02:29:32
Kafe Pesona Sunshine,Senin,07:29:34,Asep Naufal Wahyu,Laki-laki,Asep_Naufal_Wahyu@gmail.com,083019669603,Indosat,1993,Infinix,Game,Kafe,01:56:07
Kafe Gudetama Tjantik,Jumat,16:14:18,Asep Naufal Rizki,Laki-laki,Asep_Naufal_Rizki@gmail.com,085446267517,Smartfren,1984,Vivo,Hiburan,Kafe,02:03:28
Halte Larry Larry,Jumat,08:12:47,Asep Naufal Naufal,Laki-laki,Asep_Naufal_Naufal@gmail.com,088147818722,XL,1973,ASUS,Hiburan,Halte,01:53:07
Halte Pesona Rotello,Rabu,15:49:32,Asep Naufal Tono,Perempuan,Asep_Naufal_Tono@gmail.com,088423276154,Smartfren,1970,Iphone,Social Connection,Halte,00:23:20
Halte Tjantik Jaguar,Jumat,18:31:22,Asep Naufal Bagus,Perempuan,Asep_Naufal_Bagus@gmail.com,084260548690,XL,1976,Lenovo,Game,Halte,02:36:01
RS Larry Star,Senin,14:59:17,Asep Naufal Asep,Perempuan,Asep_Naufal_Asep@gmail.com,088079221287,3,1985,Samsung,Sosial Media,Rumah Sakit,01:15:12
Mall Gudetama Sunshine,Selasa,19:33:21,Asep Naufal Kartika,Perempuan,Asep_Naufal_Kartika@gmail.com,083901424556,Indosat,1998,Oppo,Sosial Media,Mall,02:37:13
Kafe Gudetama Gemilang,Rabu,16:29:02,Asep Naufal Ayu,Laki-laki,Asep_Naufal_Ayu@gmail.com,085008275372,3,1989,Realme,Social Connection,Kafe,00:37:17
RS Domo Sky,Minggu,07:12:35,Asep Naufal Alma,Laki-laki,Asep_Naufal_Alma@gmail.com,089361015716,Telkomsel,1971,Vivo,Hiburan,Rumah Sakit,00:24:01
Kafe Larry Gemilang,Selasa,16:29:30,Asep Naufal Nabilah,Laki-laki,Asep_Naufal_Nabilah@gmail.com,081781940773,3,1997,Realme,Hiburan,Kafe,00:46:58
Halte Tjantik Jaguar,Minggu,12:50:53,Asep Naufal Putri,Perempuan,Asep_Naufal_Putri@gmail.com,087342283708,Indosat,1995,Huawei,Sosial Media,Halte,02:39:46
Restoran Domo Gudetama,Selasa,12:52:09,Asep Naufal Lia,Laki-laki,Asep_Naufal_Lia@gmail.com,083748437090,Smartfren,1994,Infinix,Work Stuff,Restoran,01:02:03
